Brand,Model,Selling_Price,Year,Seller_Type,Owner,KM_Driven,Ex_Showroom_Price
TVS,TVS XL 100,30000,2017,Individual,1st owner,8000,30490.0
Bajaj,Bajaj  ct 100,18000,2017,Individual,1st owner,35000,32000.0
Yo,Yo Style,20000,2011,Individual,1st owner,10000,37675.0
Bajaj,Bajaj Discover 100,25000,2010,Individual,1st owner,43000,42859.0
Bajaj,Bajaj Discover 100,24999,2012,Individual,2nd owner,35000,42859.0
Bajaj,Bajaj Discover 100,20000,2012,Individual,1st owner,85000,42859.0
Bajaj,Bajaj Discover 100,30000,2011,Individual,1st owner,45000,42859.0
Bajaj,Bajaj Discover 100,25000,2010,Individual,2nd owner,28000,42859.0
Bajaj,Bajaj Discover 100,28000,2015,Individual,2nd owner,52000,42859.0
Bajaj,Bajaj Discover 100,22000,2014,Individual,1st owner,14289,42859.0
Bajaj,Bajaj Discover 100,24000,2014,Individual,1st owner,31000,42859.0
Bajaj,Bajaj Discover 100,21000,2009,Individual,1st owner,50000,42859.0
Bajaj,Bajaj Discover 100,23000,2012,Individual,1st owner,50000,42859.0
TVS,TVS Scooty Streak,18000,2009,Individual,2nd owner,33595,44140.0
Honda,Honda Navi [2016-2017],26000,2016,Individual,1st owner,17450,44389.0
Honda,Honda Navi [2016-2017],42000,2017,Individual,1st owner,24000,44389.0
Honda,Honda Navi [2016-2017],23000,2016,Individual,1st owner,17450,44389.0
Mahindra,Mahindra Flyte,22000,2009,Individual,3rd owner,20000,44493.0
Bajaj,Bajaj Discover 100 M,20000,2011,Individual,1st owner,37734,44756.0
Bajaj,Bajaj Discover 100 M,32000,2014,Individual,1st owner,30000,44756.0
Hero,Hero Splendor NXG,18000,2011,Individual,1st owner,35000,44814.0
TVS,TVS Star City,15000,2006,Individual,1st owner,40000,46575.0
Hero,Hero Pleasure [2005-2015],30000,2013,Individual,1st owner,25000,46779.0
Bajaj,Bajaj Discover 100,27000,2015,Individual,1st owner,21000,47000.0
Bajaj,Bajaj Discover 100 T,25000,2013,Individual,1st owner,26000,47032.0
Bajaj,Bajaj Discover 100 T,18000,2013,Individual,1st owner,45000,47032.0
Bajaj,Bajaj Discover 100 T,25000,2014,Individual,1st owner,30000,47032.0
Bajaj,Bajaj Discover 100 T,20000,2013,Individual,1st owner,20000,47032.0
TVS,TVS Star City,21000,2011,Individual,1st owner,101000,47108.0
TVS,TVS Star City,25000,2016,Individual,1st owner,50000,47108.0
Bajaj,Bajaj Discover 125 M,45000,2014,Individual,1st owner,40000,47186.0
Honda,Honda Navi,28000,2016,Individual,2nd owner,10000,47255.0
Mahindra,Mahindra Rodeo,20000,2013,Individual,1st owner,7000,47343.0
Hero,Hero Splender Plus,30000,2018,Individual,1st owner,50000,48000.0
Bajaj,Bajaj Discover 125 M,30000,2014,Individual,1st owner,45000,49146.0
Honda,Honda CB Twister,70000,2014,Individual,1st owner,12566,49150.0
Honda,Honda Dream Neo,45000,2017,Individual,2nd owner,21000,49211.0
Honda,Honda Dream Neo,50000,2014,Individual,1st owner,25000,49211.0
Hero,Hero Maestro,25000,2015,Individual,2nd owner,40000,49412.0
Hero,Hero Maestro,30000,2013,Individual,1st owner,60000,49412.0
Hero,Hero Maestro,50000,2016,Individual,1st owner,100000,49412.0
Yamaha,Yamaha Saluto RX,40000,2017,Individual,1st owner,27000,49521.0
Hero,Hero Pleasure,26500,2013,Individual,1st owner,18860,49600.0
Hero,Hero Pleasure,20000,2012,Individual,2nd owner,30000,49600.0
Hero,Hero Pleasure,30000,2013,Individual,1st owner,25000,49600.0
Hero,Hero Splendor PRO,28000,2015,Individual,1st owner,38000,49642.0
Hero,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,49900.0
Suzuki,Suzuki Let''s,34000,2014,Individual,1st owner,8000,50098.0
Honda,Honda Activa [2000-2015],22989,2012,Individual,1st owner,500000,50267.0
Honda,Honda Activa [2000-2015],30000,2014,Individual,1st owner,52000,50267.0
Honda,Honda Activa [2000-2015],25000,2014,Individual,1st owner,41000,50267.0
Honda,Honda Activa [2000-2015],20000,2010,Individual,1st owner,50000,50267.0
Honda,Honda Activa [2000-2015],35000,2014,Individual,1st owner,10000,50267.0
Honda,Honda Activa [2000-2015],29500,2013,Individual,1st owner,45000,50267.0
Honda,Honda Activa [2000-2015],10000,2009,Individual,1st owner,60000,50267.0
Honda,Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267.0
Honda,Honda Activa [2000-2015],25000,2009,Individual,1st owner,585659,50267.0
Honda,Honda Activa [2000-2015],22000,2014,Individual,1st owner,38000,50267.0
Honda,Honda Activa [2000-2015],25000,2012,Individual,1st owner,40000,50267.0
Honda,Honda Activa [2000-2015],30000,2012,Individual,1st owner,22000,50267.0
Honda,Honda Activa [2000-2015],35000,2013,Individual,1st owner,29500,50267.0
Honda,Honda Activa [2000-2015],50000,2014,Individual,1st owner,48000,50267.0
Honda,Honda Activa [2000-2015],15000,2006,Individual,1st owner,50000,50267.0
Honda,Honda Activa [2000-2015],16600,2010,Individual,1st owner,100000,50267.0
Honda,Honda Activa [2000-2015],25000,2012,Individual,1st owner,38000,50267.0
Honda,Honda Activa [2000-2015],6000,2006,Individual,2nd owner,35000,50267.0
Honda,Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267.0
Honda,Honda Activa [2000-2015],25000,2015,Individual,1st owner,25000,50267.0
Honda,Honda Activa [2000-2015],25000,2007,Individual,1st owner,17860,50267.0
Honda,Honda Activa [2000-2015],35000,2012,Individual,1st owner,29000,50267.0
Honda,Honda Activa [2000-2015],18000,2011,Individual,1st owner,28000,50267.0
Hero,Hero Duet,45000,2017,Individual,1st owner,35000,50280.0
Hero,Hero Duet,27000,2016,Individual,1st owner,28000,50280.0
Hero,Hero Duet,37000,2016,Individual,1st owner,6000,50280.0
Honda,Honda Activa 4G,48000,2019,Individual,1st owner,4300,51000.0
Honda,Honda Activa 4G,45000,2019,Individual,1st owner,4000,51000.0
Activa,Activa 4g,40000,2019,Individual,1st owner,1300,51000.0
Hero,Hero Honda Passion Pro,30000,2014,Individual,1st owner,60000,51000.0
Honda,Honda CB twister,25000,2015,Individual,1st owner,32000,51000.0
Honda,Honda CB twister,16000,2012,Individual,1st owner,33000,51000.0
Honda,Honda Activa i [2016-2017],30000,2015,Individual,2nd owner,20000,51112.0
Mahindra,Mahindra Gusto,25000,2016,Individual,1st owner,13500,51185.0
Mahindra,Mahindra Gusto,30000,2015,Individual,2nd owner,20000,51185.0
Hero,Hero Pleasure,40000,2014,Individual,1st owner,14000,51600.0
Hero,Hero Pleasure,30000,2013,Individual,1st owner,24000,51600.0
Suzuki,Suzuki Swish [2012-2015],30000,2014,Individual,1st owner,30000,51685.0
Hero,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,51994.0
Hero,Hero Splendor PRO,40000,2016,Individual,1st owner,16000,51994.0
Hero,Hero Splendor PRO,24000,2011,Individual,1st owner,43000,51994.0
Hero,Hero Splendor PRO,35000,2015,Individual,1st owner,35280,51994.0
TVS,TVS Sport ,48000,2019,Individual,1st owner,15000,52000.0
TVS,TVS Jupyter,35000,2016,Individual,1st owner,19000,52000.0
TVS,TVS Wego,25000,2012,Individual,1st owner,22000,52000.0
Activa,Activa 3g,17000,2010,Individual,1st owner,500000,52000.0
Hero,Hero Splendor iSmart,50000,2017,Individual,2nd owner,10000,52271.0
Hero,Hero Splendor iSmart,40000,2015,Individual,1st owner,19055,52271.0
Hero,Hero Splendor iSmart,40000,2015,Individual,1st owner,10000,52271.0
TVS,TVS Scooty Zest 110,28000,2015,Individual,1st owner,32800,52372.0
Bajaj,Bajaj Discover 110,15000,2007,Individual,1st owner,70000,52710.0
Hero,Hero Maestro Edge,25000,2017,Individual,1st owner,55000,52790.0
Hero,Hero Maestro Edge,55000,2018,Individual,1st owner,39000,52790.0
Yamaha,Yamaha Ray Z,35000,2015,Individual,1st owner,15500,52949.0
Yamaha,Yamaha Ray Z,75000,2017,Individual,1st owner,15000,52949.0
Honda,Honda Activa 4G,45000,2018,Individual,1st owner,25000,53079.0
Honda,Honda Dream Neo,42000,2014,Individual,1st owner,21000,53415.0
Honda,Honda Activa i [2016-2017],40000,2017,Individual,1st owner,11000,53436.0
Honda,Honda Activa i [2016-2017],35000,2016,Individual,1st owner,29000,53436.0
TVS,TVS Scooty Zest 110,30000,2017,Individual,1st owner,9432,53751.0
TVS,TVS Scooty Zest 110,55000,2018,Individual,1st owner,380,53751.0
Hero,Hero Maestro,26500,2016,Individual,2nd owner,40000,53830.0
Honda,Honda CB Twister,18000,2010,Individual,1st owner,60000,53857.0
Honda,Honda CB Twister,30000,2013,Individual,1st owner,9000,53857.0
Honda,Honda CB Twister,25000,2012,Individual,1st owner,86000,53857.0
Honda,Honda Activa i,32000,2013,Individual,2nd owner,20696,53900.0
Honda,Honda Activa i,30000,2014,Individual,1st owner,25000,53900.0
Honda,Honda Dream Yuga ,48000,2019,Individual,1st owner,8600,54000.0
Hero,Hero Splender iSmart,45000,2018,Individual,1st owner,14000,54000.0
Activa,Activa 3g,45000,2018,Individual,1st owner,500,54000.0
Hero,Hero Splender iSmart,40000,2017,Individual,1st owner,14000,54000.0
